location_name,address,province,city,latitude,longitude,type,category
Denpasar - ATM Center Pemogan,Jl. Raya pemogan,BALI,DENPASAR,-8.699475,115.197092,ATM (Tarik Tunai),ATM
Badung - ATM Center Pepito Ayana,Jl. Karang Mas No 89,BALI,BADUNG,-8.791968,115.1532017,ATM (Tarik Tunai),ATM
Badung - ATM Center Pepito Dewi Sri Kuta,Jl. Dewi Sri Kuta,BALI,BADUNG,-8.7088674,115.1787839,ATM (Tarik Tunai),ATM
Badung - ATM Center Pepito Pererenan,Jl. Raya canggu,BALI,BADUNG,-8.6307894,115.1330863,ATM (Tarik Tunai),ATM
Gianyar - ATM Center Pepito Tebongkang,Jl. Raya Tebongkang No 99,BALI,GIANYAR,-8.5329396,115.2438535,ATM (Tarik Tunai),ATM
Badung - ATM Center Pepito Umalas,Jl. Dukuh Indah No 56,BALI,BADUNG,-8.665378252,115.1624644,ATM (Tarik Tunai),ATM
Badung - Baleka,"Jl. Werkudara, Legian",BALI,BADUNG,-8.700154,115.167413,ATM (Tarik Tunai),ATM
Badung - Bali Collection,"Jl. Kawasan Nusa Dua Resort, Komp. Pariwisata BTDC Nusa Dua Bali",BALI,BADUNG,-8.8018913,115.2309906,ATM (Tarik Tunai),ATM
Badung - Bali Tropic Hotel,Jl. Pratama No 34 A Nusa Dua,BALI,BADUNG,-8.786049,115.225721,ATM (Tarik Tunai),ATM
Badung - Bandara Ngurah Rai Internasional (Arrival),Jl. By Pass I Gusti Ngr Rai ,BALI,BADUNG,-8.744227577,115.1667252,ATM (Tarik Tunai),ATM
Badung - Beachwalk Kuta,Jl. Pantai Kuta,BALI,BADUNG,-8.716848228,115.1688984,ATM (Tarik Tunai),ATM
Badung - Bintang Seminyak,Jl. Raya Seminyak No. 17,BALI,BADUNG,-8.6942992,115.1682094,ATM (Tarik Tunai),ATM
Badung - Canggu Club,"Jl. Pantai Berawa, Br Tegal Gundul Canggu",BALI,BADUNG,-8.6629018,115.148022,ATM (Tarik Tunai),ATM
Badung - Canggu Plaza,Jl. Taman Wisata Tibubeneng,BALI,BADUNG,-8.664335,115.146484,ATM (Tarik Tunai),ATM
Gianyar - Celuk Trade Center,Jl. Raya Celuk Sukowati,BALI,GIANYAR,-8.603234,115.2584725,ATM (Tarik Tunai),ATM
Gianyar - Cening Bagus,Jl. Raya Batu Bulan No. 100 X,BALI,GIANYAR,-8.6261274,115.2575374,ATM (Tarik Tunai),ATM
Badung - CIMB Niaga Kutagraha,Jl. By Pass Ngurah Rai No.88,BALI,BADUNG,-8.722016816,115.1829305,ATM (Tarik Tunai),ATM
Denpasar - CIMB Niaga Melati,Jl. Melati No 29,BALI,DENPASAR,-8.653328,115.22256,ATM (Tarik Tunai),ATM
Badung - CIMB Niaga Nusadua,Komplek Pertokoan Tragia Blok E III No 29  Nusa Dua,BALI,BADUNG,-8.720620145,115.1923741,ATM (Tarik Tunai),ATM
Denpasar - CIMB Niaga Sanur,Jl. By Pass Ngurah Rai No. 29 - 30,BALI,DENPASAR,-8.694019,115.258748,ATM (Tarik Tunai),ATM
Denpasar - CIMB Niaga Thamrin,Jl. MH Thamrin No.77,BALI,DENPASAR,-8.656607,115.210153,ATM (Tarik Tunai),ATM
Gianyar - CIMB Niaga Ubud,"Jl. Raya Andong Desa Peliatan, Ubud, Gianyar",BALI,GIANYAR,-8.50462916,115.2718815,ATM (Tarik Tunai),ATM
Denpasar - Circle K Central Kuta Money Changer,Jl. Danau Tamblingan No. 6,BALI,DENPASAR,-8.694488552,115.2637522,ATM (Tarik Tunai),ATM
Denpasar - Circle K Danau Poso (BAL0203 - CK 61),Jl. Danau Poso,BALI,DENPASAR,-8.705568464,115.2544355,ATM (Tarik Tunai),ATM
Badung - Circle K Melasti,Jl. Melasti,BALI,BADUNG,-8.70878,115.1694,ATM (Tarik Tunai),ATM
Badung - Circle K Padma Utara,"Jl. Padma Utara, Legian, Kuta ",BALI,BADUNG,-8.701771772,115.1663089,ATM (Tarik Tunai),ATM
Gianyar - Circle K Pengosekan Ubud,"Jl. Raya Pengosekan Ubud, Store 94",BALI,GIANYAR,-8.5196879,115.263084,ATM (Tarik Tunai),ATM
Badung - Circle K Semer,"Jl. Semer Kerobokan, Store 95",BALI,BADUNG,-8.6605115,115.1637404,ATM (Tarik Tunai),ATM
Badung - Club Med Hotel,Kawasan BTDC lot 6 Nusa Dua Bali,BALI,BADUNG,-8.7906311,115.2284889,ATM (Tarik Tunai),ATM
Gianyar - CP Lounge Ubud,Jl. Monkey Forest,BALI,GIANYAR,-8.510975,115.26181,ATM (Tarik Tunai),ATM
Gianyar - Depo Bangunan,Jl. Utama Semabaung Gianyar,BALI,GIANYAR,-8.535113,115.308124,ATM (Tarik Tunai),ATM
Badung - Discovery Shopping Mall,Jl. Kuta Art Market,BALI,BADUNG,-8.729006567,115.1679144,ATM (Tarik Tunai),ATM
Badung - Digital Lounge Mal Bali Galeria,"Jl. By Pass Ngurah Rai, Simp.Dewa Ruci",BALI,BADUNG,-8.723016266,115.1846898,ATM (Tarik Tunai),ATM
Denpasar - Dunkin Donut Sanur,Jl. By Pass Ngurah Rai Sanur,BALI,DENPASAR,-8.6743401,115.2598307,ATM (Tarik Tunai),ATM
Badung - Eccos Plaza,Jl. Sunset road 77B Kuta,BALI,BADUNG,-8.715758,115.185419,ATM (Tarik Tunai),ATM
Gianyar - Fuji MF,"Jl. Monkey Forest, Ubud",BALI,GIANYAR,-8.515131,115.2603235,ATM (Tarik Tunai),ATM
Badung - Hotel Naturela Labuhan Sait Ungasan,Jl. Labuhan Sait,BALI,BADUNG,-8.81777322,115.1151459,ATM (Tarik Tunai),ATM
Badung - Hotel Novotel Nusa Dua,Komplex Nusa Dua Bali PO Box 116 Nusa Dua Bali,BALI,BADUNG,-8.8081787,115.224107,ATM (Tarik Tunai),ATM
Badung - Hotel W Seminyak,Jl. Petitenget Seminyak,BALI,BADUNG,-8.676917,115.149465,ATM (Tarik Tunai),ATM
Badung - Indomaret Batu Belig (TNAS),Jl. Batu Belig No 39,BALI,BADUNG,-8.67287,115.15298,ATM (Tarik Tunai),ATM
Badung - Indomaret Braban (TOCE),Jl. Braban Kel. Kerobokan Kelod ,BALI,BADUNG,-8.681553,115.1600952,ATM (Tarik Tunai),ATM
Badung - Indomaret Canggu Permai (TA6A),Jl. Pantai Berawa - Badung - Bai,BALI,BADUNG,-8.64787,115.14988,ATM (Tarik Tunai),ATM
Badung - Indomaret Ground Zero (TIB4),Jl. Legian Ground Zero Lt. 2-Badung ,BALI,BADUNG,-8.71707,115.17445,ATM (Tarik Tunai),ATM
Gianyar - Indomaret Kedewatan,Jl. Raya Kedewatan Ubud ,BALI,GIANYAR,-8.4779472,115.2482649,ATM (Tarik Tunai),ATM
Badung - Indomaret Legian 4 BDG (TFES),Jl. Legian Lt.2 Kuta Badung ,BALI,BADUNG,-8.71322,115.17321,ATM (Tarik Tunai),ATM
Buleleng - Indomaret Lovina I,Jl. Raya Seririt Desa Kalibugbug Buleleng,BALI,BULELENG,-8.1595,115.0313,ATM (Tarik Tunai),ATM
Denpasar - Indomaret Nangka,Jl. Nangka Utara No 234,BALI,DENPASAR,-8.63346061,115.2233402,ATM (Tarik Tunai),ATM
Badung - Indomaret Pratama (T55Y),Jl. Pratama Tanjung Benoa ,BALI,BADUNG,-8.7748742,115.2227954,ATM (Tarik Tunai),ATM
Badung - Indomaret Taman Ayun (T94J),Desa Gulingan Mengwi ,BALI,BADUNG,-8.54418,115.17335,ATM (Tarik Tunai),ATM
Badung - Indomaret Tanjung Benoa,Jl. Pratama No.99,BALI,BADUNG,-8.7569092,115.2212879,ATM (Tarik Tunai),ATM
Gianyar - Japanese Ryoshi Restaurant,Jl. Hanoman Padang Tegal Ubud,BALI,GIANYAR,-8.51764789,115.2636118,ATM (Tarik Tunai),ATM
Badung - Kawan Minimart Patimura,Jl. Patimura No 1 Legian Kuta Bali,BALI,BADUNG,-8.711661,115.176641,ATM (Tarik Tunai),ATM
Badung - Kawasan Pariwisata Kedonganan,Jl. Pantai Kedonganan ,BALI,BADUNG,-8.762091,115.170071,ATM (Tarik Tunai),ATM
Badung - Krisna Tuban,Jl. Raya Tuban No 2 - Kuta Bali 2 X,BALI,BADUNG,-8.7416549,115.1789971,ATM (Tarik Tunai),ATM
Denpasar - Level 21 Mall,Jl. Teuku Umar No 1,BALI,DENPASAR,-8.6696439,115.2150787,ATM (Tarik Tunai),ATM
Badung - Lippo Mall Kuta,"Jl. Kartika Plaza, Lingk. Segara Kuta",BALI,BADUNG,-8.734953,115.166632,ATM (Tarik Tunai),ATM
Badung - Mercure Hotel Legian,Jl. Legian No 328 Legian Klod Kuta,BALI,BADUNG,-8.707809,115.171732,ATM (Tarik Tunai),ATM
Badung - Mini Market Harta Dewata,Jl. Raya Dalung,BALI,BADUNG,-8.60691,115.17166,ATM (Tarik Tunai),ATM
Gianyar - Minimart Campuhan Ubud (UB11),Jl. Sanggingan Campuhan Ubud,BALI,GIANYAR,-8.4946594,115.2534025,ATM (Tarik Tunai),ATM
Badung - Nirmala Balangan,Jl. Raya Balangan Cengiling Jimbaran,BALI,BADUNG,-8.797903333,115.131475,ATM (Tarik Tunai),ATM
Badung - Nirmala Kampus Udayana Jimbaran,Jl. Raya Kampus Unud Jimbaran,BALI,BADUNG,-8.789808,115.176944,ATM (Tarik Tunai),ATM
Badung - Nirmala Market,Jl. Uluwatu II No.10 Jimbaran,BALI,BADUNG,-8.781812,115.174414,ATM (Tarik Tunai),ATM
Gianyar - Nirmala Mas Ubud,Jl. Raya Mas Ubud,BALI,GIANYAR,-8.5545416,115.2723023,ATM (Tarik Tunai),ATM
Badung - Nirmala Nusa Dua,"Jl. Raya Nusa Dua, Jimbaran Bali",BALI,BADUNG,-8.783703333,115.18719,ATM (Tarik Tunai),ATM
Badung - Nirmala SuperMarket Jimbaran,Jl. Raya Uluwatu Denpasar,BALI,BADUNG,-8.81598,115.15556,ATM (Tarik Tunai),ATM
Badung - Padma Hotel,Jl. Padma No 1 Kuta  ,BALI,BADUNG,-8.706267,115.167882,ATM (Tarik Tunai),ATM
Badung - Pepito Canggu,Jl. Raya Canggu Badung,BALI,BADUNG,-8.64391,115.1577,ATM (Tarik Tunai),ATM
Badung - Pepito Express Taman Griya,Jl. Raya Danau Beratan Mumbul Nusa Dua,BALI,BADUNG,-8.7859066,115.1878647,ATM (Tarik Tunai),ATM
Badung - Pepito Supermarket,Jl. Kediri Tuban,BALI,BADUNG,-8.7385797,115.1725795,ATM (Tarik Tunai),ATM
Denpasar - Popular Express Sanur,Jl. Danau Tamblingan Sanur,BALI,DENPASAR,-8.6924424,115.2635875,ATM (Tarik Tunai),ATM
Denpasar - Popular Sanur Intaran,"Jl. Cemara No.27 Sanur,Denpasar Selatan ",BALI,DENPASAR,-8.7065613,115.2593795,ATM (Tarik Tunai),ATM
Badung - Puri Naga,"Jl. Arjuna, Double Six",BALI,BADUNG,-8.697431934,115.1623626,ATM (Tarik Tunai),ATM
Badung - Resident Batu Bolong,Jl. Pantai Batu Bolong,BALI,BADUNG,-8.64332,115.14223,ATM (Tarik Tunai),ATM
Badung - Samasta Jimbaran,Jl. Wanagiri Jimbaran,BALI,BADUNG,-8.7856282,115.1642439,ATM (Tarik Tunai),ATM
Badung - Seminyak Village Mall,Jl. Kayu Jati 8 Link Basangkara,BALI,BADUNG,-8.683332,115.156685,ATM (Tarik Tunai),ATM
Badung - Sidewalk Jimbaran Mall,Jl. Raya Uluwatu No 111 ,BALI,BADUNG,-8.79651,115.161354,ATM (Tarik Tunai),ATM
Denpasar - SM Karya Sari,Jl. Raya Sesetan No.68 Denpasar,BALI,DENPASAR,-8.68453,115.21537,ATM (Tarik Tunai),ATM
Denpasar - SPBU 51-80130,Jl. Hayam Wuruk Denpasar,BALI,DENPASAR,-8.6665215,115.2415778,ATM (Tarik Tunai),ATM
Denpasar - SPBU 54-80102 Padangsambian,Jl. Gunung Sanghyang Padangsambian,BALI,DENPASAR,-8.649065,115.186299,ATM (Tarik Tunai),ATM
Denpasar - SPBU 54-80112 A.Yani,"Jl. A. Yani Utara, Denpasar",BALI,DENPASAR,-8.624567,115.2089,ATM (Tarik Tunai),ATM
Denpasar - SPBU 54-80113 Kebo Iwa,Jl. Gatot Subroto ,BALI,DENPASAR,-8.636384,115.185475,ATM (Tarik Tunai),ATM
Denpasar - SPBU 54-80116 Sawung Sanur,Jl. By Pass Ngurah Rai Pesanggaran,BALI,DENPASAR,-8.713878,115.223064,ATM (Tarik Tunai),ATM
Denpasar - SPBU 54-80143 Hang Tuah,Jl. Hang Tuah Sanur,BALI,DENPASAR,-8.674409,115.254472,ATM (Tarik Tunai),ATM
Badung - SPBU 54-80303 Kuta,Jl. Raya Kuta No.103,BALI,BADUNG,-8.720887,115.180046,ATM (Tarik Tunai),ATM
Badung - SPBU 54-80306 Kerobokan Kelod,Jl. Raya Kerobokan,BALI,BADUNG,-8.673001,115.165423,ATM (Tarik Tunai),ATM
Badung - SPBU 54-80317 Kerobokan,Jl. Teuku Umar Barat Kerobokan Badung,BALI,BADUNG,-8.673476,115.177859,ATM (Tarik Tunai),ATM
Badung - SPBU 54-80319 Kunti,Jl. Raya Kunti No.99,BALI,BADUNG,-8.689047,115.171569,ATM (Tarik Tunai),ATM
Badung - SPBU 54-80323 Sunset Road,Jl. Sunset road Kuta,BALI,BADUNG,-8.715135,115.186304,ATM (Tarik Tunai),ATM
Badung - SPBU 54-80333 Mambal,Jl. Raya Mambal Desa Latu Sari Kec. Abian Semal ,BALI,BADUNG,-8.544633,115.214233,ATM (Tarik Tunai),ATM
Gianyar - SPBU 54-805021 Ubud,Jl. Raya Pengosekan,BALI,GIANYAR,-8.52418,115.26368,ATM (Tarik Tunai),ATM
Gianyar - SPBU 54-80520 Ubud,Jl. Raya Andong (Ubud) Gianyar,BALI,GIANYAR,-8.5051,115.27155,ATM (Tarik Tunai),ATM
Tabanan - SPBU 54-82116 Sanggulan Tabanan,Jl. Gatot Subroto Kediri Tabanan,BALI,TABANAN,-8.544083,115.140717,ATM (Tarik Tunai),ATM
Denpasar - SPBU Imam Bonjol,"Jl. Imam Bonjol, Denpasar",BALI,DENPASAR,-8.696231667,115.186885,ATM (Tarik Tunai),ATM
Tabanan - SPBU Mertasari,Jl. By Pass Kediri Tabanan,BALI,TABANAN,-8.5519194,115.1305584,ATM (Tarik Tunai),ATM
Denpasar - SPBU Sesetan,Jl. Raya Sesetan 323,BALI,DENPASAR,-8.69947,115.219367,ATM (Tarik Tunai),ATM
Gianyar - Sthala Hotel,Jl. AA Gede Rai,BALI,GIANYAR,-8.572805,115.260067,ATM (Tarik Tunai),ATM
Badung - STIE Triatma Mulya,"Jl. Kubu Gunung, Tegal Jaya",BALI,BADUNG,-8.6316644,115.1763063,ATM (Tarik Tunai),ATM
Badung - Sunset Poin,Jl. Sunset Road 88-99,BALI,BADUNG,-8.682699,115.1664803,ATM (Tarik Tunai),ATM
Badung - Tiara Gatsu,Jl. Gatot Subroto Barat 507,BALI,BADUNG,-8.6379198,115.1747767,ATM (Tarik Tunai),ATM
Gianyar - Tinos Market,Jl. Raya Ubud,BALI,GIANYAR,-8.5061477,115.2608249,ATM (Tarik Tunai),ATM
Badung - Warung Made,Seminyak Kuta Denpasar,BALI,BADUNG,-8.6892105,115.167554,ATM (Tarik Tunai),ATM
Badung - Waterboom,Jl. Kartika PO Box 1055 Tuban,BALI,BADUNG,-8.7280325,115.1693905,ATM (Tarik Tunai),ATM
Badung - Westin Resort Nusa dua,Kawasan BTDC Lot N-3 Nusa Dua,BALI,BADUNG,-8.7954238,115.2303233,ATM (Tarik Tunai),ATM
Bandung - Agy Car Wash,Jl. Terusan Jakarta Antapani 225 Bandung ,JAWA BARAT,BANDUNG,-6.913505139,107.6601489,ATM (Tarik Tunai),ATM
Bandung - Alfamart Lagadar (N420),Jl. Cagak Gunung Agung Rt 04 Rw 04,JAWA BARAT,BANDUNG,-6.920827,107.538556,ATM (Tarik Tunai),ATM
Cimahi - Alfamart Utama (N213),Jl. Nanjung no 13 Leuwigajah,JAWA BARAT,CIMAHI,-6.905046531,107.5336726,ATM (Tarik Tunai),ATM
Bandung - Alfamidi Batujajar,Jl. Raya Batujajar,JAWA BARAT,BANDUNG,-6.9139773,107.4981743,ATM (Tarik Tunai),ATM
Bandung Barat - Alfamidi Cimareme,Jl. Raya Cimareme No 256,JAWA BARAT,BANDUNG BARAT,-6.863461,107.50417,ATM (Tarik Tunai),ATM
Bandung - Apartement Emerald,Jl. Sanggar Kencana 27 No 50,JAWA BARAT,BANDUNG,-6.932484,107.664019,ATM (Tarik Tunai),ATM
Bandung - Apartement Gateway Pasteur,Jl. Gunungbatu no 203,JAWA BARAT,BANDUNG,-6.8895043,107.5663689,ATM (Tarik Tunai),ATM
Bandung - ATM Center Borma Padalarang,Jl. Raya Padalarang No. 504,JAWA BARAT,BANDUNG,-6.844545,107.488398,ATM (Tarik Tunai),ATM
Bandung - ATM Center Yogya Junction 8,Jl. Cemara No 81,JAWA BARAT,BANDUNG,-6.883845,107.597242,ATM (Tarik Tunai),ATM
Bandung - ATM Paskal 23 hyper Square,Jl. Pasirkaliki No 23,JAWA BARAT,BANDUNG,-6.914783333,107.5938183,ATM (Tarik Tunai),ATM
Bandung - ATM Yomart,Jl. Sersan Bajuri - Setia Budi,JAWA BARAT,BANDUNG,-6.85845,107.594561,ATM (Tarik Tunai),ATM
Bandung - Balubur Town Square,Jl. Taman Sari ,JAWA BARAT,BANDUNG,-6.898617,107.6085,ATM (Tarik Tunai),ATM
Bandung - BEC,Jl. Purnawarman 13-15 ,JAWA BARAT,BANDUNG,-6.907639,107.60913,ATM (Tarik Tunai),ATM
Bandung - Borma Bale Endah,Jl. Raya Banjaran No 277,JAWA BARAT,BANDUNG,-7.0085099,107.6121927,ATM (Tarik Tunai),ATM
Bandung - Borma Cipamokolan,Jl. Cipamokolan,JAWA BARAT,BANDUNG,-6.9418295,107.6769399,ATM (Tarik Tunai),ATM
Bandung - Borma Dago,Jl. IR. H. Juanda No 348,JAWA BARAT,BANDUNG,-6.877112,107.618084,ATM (Tarik Tunai),ATM
Bandung - Borma Dakota,Jl. Dakota No. 109,JAWA BARAT,BANDUNG,-6.89073,107.571917,ATM (Tarik Tunai),ATM
Bandung - Borma Kopo Ketapang,Jl. Raya Kopo Ketapang Km 14,JAWA BARAT,BANDUNG,-6.996963,107.554445,ATM (Tarik Tunai),ATM
Bandung - Borma Pasir Impun Sukamiskin,Jl. AH Nasution No. 137,JAWA BARAT,BANDUNG,-6.9044209,107.6758597,ATM (Tarik Tunai),ATM
Bandung - Borma Sadang Serang Cikutra,Jl. Cikutra Barat   No.66,JAWA BARAT,BANDUNG,-6.8920571,107.630854,ATM (Tarik Tunai),ATM
Bandung - Borma Supermarket,Jl. Taman Kopo Indah II,JAWA BARAT,BANDUNG,-6.961890394,107.5588327,ATM (Tarik Tunai),ATM
Bandung - BTC,Jl. Djundjunan No. 143-149 ,JAWA BARAT,BANDUNG,-6.8935629,107.5848437,ATM (Tarik Tunai),ATM
Bandung - Cihampelas Walk,Jl. Cihampelas No.160 ,JAWA BARAT,BANDUNG,-6.894868,107.604408,ATM (Tarik Tunai),ATM
Bandung - Cijerah Trade Center Bandung,Jl. Cijerah Raya No. 230,JAWA BARAT,BANDUNG,-6.9270042,107.5655566,ATM (Tarik Tunai),ATM
Cimahi - Cimahi Mall,Jl. Gandawijaya,JAWA BARAT,CIMAHI,-6.878486,107.539811,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga A.Yani,"Jl. Terusan Jakarta B1 No. 77 H, Komp. Lucky Plaza",JAWA BARAT,BANDUNG,-6.914015309,107.6444497,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Asia Afrika,Jl. Jend Gatot Subroto No.2,JAWA BARAT,BANDUNG,-6.922834102,107.6179495,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Astana Anyar,Jl. Astana Anyar No.115,JAWA BARAT,BANDUNG,-6.924267,107.599067,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Borma Dakota,Jl. Dakota Raya No.109,JAWA BARAT,BANDUNG,-6.890881,107.571669,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Buah Batu,Jl. Buah Batu No.143,JAWA BARAT,BANDUNG,-6.937724,107.623365,ATM (Tarik Tunai),ATM
Cimahi - CIMB Niaga Cimahi Raya Tagog,Jl. Raya Tagog No.256,JAWA BARAT,CIMAHI,-6.875644,107.545411,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Dago,Jl. Ir. H. Juanda No. 165,JAWA BARAT,BANDUNG,-6.887017,107.613417,ATM (Tarik Tunai),ATM
Garut - CIMB Niaga Garut Ahmad Yani,Jl. Jend. Ahmad Yani No.29,JAWA BARAT,GARUT,-7.216013302,107.9024719,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Kopo Bihbul,Jl. Kopo Bihbul No. 94,JAWA BARAT,BANDUNG,-6.959102,107.566409,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Kota Baru Parahyangan,Jl. Panyawangan Kav. 6 A No 5A-B,JAWA BARAT,BANDUNG,-6.854534,107.490818,ATM (Tarik Tunai),ATM
Bandung Barat - CIMB Niaga Lembang,Jl. Raya Lembang No. 274,JAWA BARAT,BANDUNG BARAT,-6.81916,107.61157,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Lembong,Jl. Lembong No. 7,JAWA BARAT,BANDUNG,-6.91738,107.611427,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Lingkar Selatan,Jl. Peta No.65 ,JAWA BARAT,BANDUNG,-6.932371049,107.5898263,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Otista,Jl. Otista No. 102 Bandung,JAWA BARAT,BANDUNG,-6.91861,107.60415,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Pajajaran,Jl. Pajajaran No. 85,JAWA BARAT,BANDUNG,-6.906809,107.595101,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Riau,Jl. RE Martadinata No.134,JAWA BARAT,BANDUNG,-6.911980999,107.62782,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Setiabudi,Jl. Setiabudi No.57,JAWA BARAT,BANDUNG,-6.879467,107.5982,ATM (Tarik Tunai),ATM
Bandung - CIMB Niaga Sumber Sari,"Jl. Soekarno Hatta No. 132 A, Komp. Ruk Sumber Sari",JAWA BARAT,BANDUNG,-6.93292,107.576323,ATM (Tarik Tunai),ATM
Bandung - D'Grove,Jl. Sukarno Hatta no 27,JAWA BARAT,BANDUNG,-6.920676,107.574838,ATM (Tarik Tunai),ATM
Bandung - Digital Lounge ITB,Jl. Ganesha No. 10,JAWA BARAT,BANDUNG,-6.891449,107.610698,ATM (Tarik Tunai),ATM
Bandung - Feng Tay,"Jl. Raya Banjaran Km 14,6",JAWA BARAT,BANDUNG,-7.0249446,107.5953295,ATM (Tarik Tunai),ATM
Bandung - Festival CityLink,Jl. Peta No. 241 ,JAWA BARAT,BANDUNG,-6.9290998,107.5863236,ATM (Tarik Tunai),ATM
Bandung - Griya Bojong Soang,Jl. Terusan Buah Batu No 254,JAWA BARAT,BANDUNG,-6.968285,107.637229,ATM (Tarik Tunai),ATM
Bandung - Griya Dinasty,Jl. Kiara Condong No 175,JAWA BARAT,BANDUNG,-6.9223173,107.6444597,ATM (Tarik Tunai),ATM
Bandung - Griya Grand Majalaya,Jl. Tengah No 132,JAWA BARAT,BANDUNG,-7.0494,107.75955,ATM (Tarik Tunai),ATM
Bandung - Griya Junjunan,Jl. Dr Junjunan No.113 ,JAWA BARAT,BANDUNG,-6.895216,107.588623,ATM (Tarik Tunai),ATM
Bandung - Griya Margahayu Raya,Jl. Pluto Utara No. 01,JAWA BARAT,BANDUNG,-6.955003,107.6626749,ATM (Tarik Tunai),ATM
Bandung - Griya Taman Kopo Indah,Jl. Taman Kopo Indah 2,JAWA BARAT,BANDUNG,-6.9573578,107.5612238,ATM (Tarik Tunai),ATM
